Stimulus,Descriptors
112-45-8,mandarin;aldehydic;fatty;rose;soapy;citrus;waxy
112-53-8,fatty;honey;coconut;earthy;soapy;waxy
112-54-9,aldehydic;floral;orange rind;green;soapy;citrus;waxy
112-55-0,meaty;skunk;sulfurous;cooked
112-61-8,oily;waxy
112-62-9,fatty;mild
112-63-0,bland
112-66-3,sweet;clean;fresh;cloth laundered cloth;waxy
112-70-9,musty
112-72-1,fruity;orris;coconut;waxy
112-80-1,lard;fried;fatty;savory;oily;tallow;waxy
112-92-5,bland
112-95-8,waxy
1120363-98-5,cooling;fresh
1122-62-9,musty;fatty;nutty;corn chip;tobacco;popcorn;corn
1123-85-9,spicy;lilac;balsamic;green;hyacinth;honeysuckle
1124-11-4,lard;musty;vanilla;dry;cocoa;nutty;coffee;burnt;brown;chocolate
1125-12-8,cedar;spicy;thujonic;woody
1125-21-9,sweet;musty;tea;leafy;tobacco;brown;lemon;woody;citrus
1125-88-8,vegetable;floral;potato;nutty;rooty;winey;fruity;spinach;green;almond;fungal;earthy;sharp
1126-61-0,creosote;slight
1126-79-0,anise;licorice
1128-08-1,sweet;spicy;floral;woody;herbal;fruity;fresh outdoors;powdery;jasmin;myrrh
1129-47-1,fruity
1129-67-5,metallic;cinnamyl;green
1129-69-7,mutton;fatty;green
112945-52-5,odorless
1131-62-0,sweet;woody;floral
113486-29-6,caramellic;burnt;fruity;hay
1135-66-6,woody;amber;dusty;incense
113889-23-9,fruity;orchid;balsamic;green;woody;peach
1139-30-6,sweet;dry;spicy;fresh;woody
114-76-1,honey
114099-96-6,sweet;earthy;weedy;fruity;wasabi;green;ethereal;tropical
1142-85-4,sweet;orange;balsamic;incense;frankincense;pine;citrus
114791-16-1,woody;spicy
115-10-6,ethereal
115-18-4,herbal;earthy;oily
115-71-9,woody;sandalwood
115-95-7,sweet;lavender;green;bergamot;woody;citrus
115-99-1,fatty;herbal;lavender;green;bergamot;woody;soapy;citrus
1153-51-1,natural;animal;musk
115482-83-2,fruity;hyacinth
115724-27-1,floral;tropical;fruity;rose
116-02-9,musty;spicy;mentholic;cooling;minty
116-09-6,caramellic;ethereal;pungent;sweet
116-26-7,metallic;spicy;medicinal;herbal;camphoreous;powdery;phenolic;fresh;tobacco;woody;rosemary
116-53-0,fermented;dirty;cheesy roquefort cheese;fruity;acidic;pungent;cheesy
116-66-5,sweet;dry;ambrette;powdery;musk
116505-60-3,roasted;meaty;cooked
1166-52-5,odorless
116963-97-4,woody;earthy;galbanum;leafy
117013-33-9,roasted;nutty;cooked
117933-89-8,dry;resinous;floral;dusty;amber;mahogany;woody;earthy
118-55-8,sweet;fruity;balsamic
118-56-9,menthol;mild
118-58-1,sweet;clean;herbal;oily;balsam
118-60-5S,floral;orchid;sweet;balsamic
118-61-6,sweet;spicy;floral;cooling;balsamic;minty;wintergreen;tutti frutti
118-65-0,woody;spicy
118-71-8,sweet;cotton candy;caramellic;fruity;burnt;jammy;bread baked;bready
118-72-9,metallic;meaty;sulfurous;smoky;phenolic;roasted
118-93-4,sweet;almond bitter almond;honey;melon;herbal;phenolic;tobacco;hawthorn;cherry;tropical;sharp
1184-78-7,odorless
1185-57-5,odorless
118562-73-5,woody;amber;musk
1186004-10-3,sweet;mild
1188-02-9,sweaty;buttermilk;green;cheesy;waxy
1189-09-9,floral;fruity;green;waxy
119-36-8,sweet;root beer;camphoreous;phenolic;minty;wintergreen;aromatic
119-53-9,medicinal;vanilla;camphoreous;balsamic
119-61-9,metallic;rose;herbal;powdery;balsamic;geranium
119-65-3,sweet;anise;almond bitter almond;herbal;balsamic
119-84-6,sweet;vanilla;spicy;cinnamon;herbal;coconut;creamy;coumarinic;balsamic;tonka
1190229-37-8,sweet;savory
1190230-47-7,sweet;savory
1191-08-8,meaty;sulfurous
1191-16-8,sweet;ripe;banana;fruity;fresh;balsamic;jasmin;heliotrope
1191-43-1,meaty;sulfurous;fatty;burnt;fungal
1191-62-4,earthy;meaty;sulfurous;mushroom
1192-62-7,sweet;toasted;caramellic;cocoa;nutty;coffee;balsamic;brown;almond;milky;lactonic
1193-11-9S,vegetable;musty;green;ethereal;asparagus;potato raw potato;earthy;tomato;tomato leaf
1193-18-6,sweet;benzoin;caramellic;nutty;fruity;walnut;phenolic;almond;cherry
1193-79-9,sweet;musty;caramellic;nutty;coconut;coumarinic;milky;hay
1193-81-3,fresh;clean
1195-32-0,musty;spicy;nutty;guaiacol;styrene;coffee;phenolic;clove
1195-92-2,clean;spearmint;herbal;fresh;minty;citrus
1196-01-6,camphoreous;minty;spicy
1196-31-2,minty
