smiles,regression_logP
CC(C=O)c1ccccc1,1.989
CCCCCCC(CO)C(C)=O,2.1543
Nc1ccccc1C(=O)OCCc1ccccc1,2.668300000000001
C=C(C)CCCC(C)CCOC(=O)C(C)C,3.9582000000000033
CCOC(OCC)C1CC2CC1C1C=CCC21,3.2338000000000022
COC(CC(C)CCCC(C)(C)O)OC,2.572700000000001
c1ccc(CCOC2CCCCC2)cc1,3.578400000000003
CC1CCC(O)C(C(C)(C)C)C1,2.829600000000001
CCC=C(C)C(=O)O,1.4273
CC1C2CC(CC2C2CCCC(O)C2)C1(C)C,3.855800000000003
CC(C)=C1CC[C@@H](C)CC1=O,2.7119000000000013
c1ccc2[nH]ccc2c1,2.1678999999999995
CCCCC1CCC(=O)O1,1.8822
CC(=O)C=CC1=C(C)CCCC1(C)C,3.6582000000000026
CC(C)=CCC/C(C)=C\COC(=O)C(C)C,3.878300000000003
C=CCCCCCCCCCOC(C)=O,3.8563000000000023
CC(=O)/C=C/C1C(C)=CCC(C)C1(C)C,3.760100000000003
CC(=O)OCCC(C)C,1.5956
CCCC(=O)OCCC(C)C,2.375800000000001
CC(C)CCOC(=O)c1ccccc1O,2.5951000000000017
CC(=O)O[C@@H]1C[C@@H]2CC[C@]1(C)C2(C)C,2.7643000000000013
CCCC(C)C(=O)OCC,1.9857
CC(C)COC(=O)Cc1ccccc1,2.4283
CC(C)C=O,0.8412999999999999
CCC(C)c1ccc2ncccc2c1,3.7483000000000017
CCCCC(=O)O[C@@H]1CC2CCC1(C)C2(C)C,3.9346000000000028
CCCCCCC(C(C)=O)C(=O)OCC,2.725100000000001
CC(C)COC(=O)c1ccccc1O,2.2050000000000005
CC1=CC(C)C(CO)C(C)C1,2.2171000000000003
C=C(C)c1ccc(O)c(OC)c1,2.4339000000000004
CC(=O)OC1CC(C)CCC1C(C)C,3.0103000000000018
CCCCCCC1=CCCC1=O,3.246100000000002
CC=CC(=O)C1C(C)C=CCC1(C)C,3.370000000000002
CCOC(=O)[C@@]12CCC[C@@H]1[C@H]1CC[C@@H]2C1,2.765900000000001
CC1=CC2C3CC(CC3O)C2C1C,2.2155000000000005
CC(C)=CCC/C(C)=C/CO,2.6714000000000016
CCC/C=C\CCC(=O)OC,2.2959000000000005
